nama,MIE KALEM,MIE GEMES LV 1,MIE GEMES LV 2,MIE GEMES LV 3,MIE GEMES LV 4,MIE AYAM,MIE AYAM PANGSIT,MIE AYAM CEKER,MIE AYAM BAKSO,MIE YAMIN (0),MIE YAMIN LV 1,MIE YAMIN LV 2,MIE YAMIN LV 3,MIE YAMIN LV 4,CWIE MIE,CWIE MIE PANGSIT,CWIE MIE BAKSO,BAKSO SAPI,MIE AYAM KOMPLIT,TEH HANGAT,ES TEH,JERUK HANGAT,ES JERUK,ES BERAS KENCUR,CAPPUCINO CINCAU,THAI TEA,GREEN THAI TEA,ES KOPI MILO,AIR MINERAL,ES MILO,GOODDAY CAPPUCINO,HOT LEMON TEA,ES LEMON TEA,ES KOPI SUSU,ES KOPI SUSU VANILLA,ES KOPI SUSU RUM REGAL,KOPI HITAM,PANGSIT GORENG,PANGSIT REBUS,DIMSUM BOLA RAMBUTAN,DIMSUM SIOMAY BEEF,DIMSUM SIOMAY SALMON,DIMSUM SIOMAY AYAM,DIMSUM KEICHAK,DIMSUM SUSHI,DIMSUM TIM TAHU,DIMSUM MONEY BAG,DIMSUM SPRING ROLL,DIMSUM LUMPIA NORI,DIMSUM BOLA KEJU,DIMSUM SIOMAY CRAB,DIMSUM SIOMAY KEJU,DIMSUM SIOMAY MOZARELLA,DIMSUM SIOMAY RANJAU,DIMSUM SIOMAY JAMUR,DIMSUM XIAO LONG BAO,DIMSUM EKADO
MIE KALEM,0.9999999,0.9755359,0.97687197,0.9786128,0.9710019,0.8584715,0.8520032,0.8484055,0.83529794,0.9749954,0.9673767,0.9699832,0.972023,0.97104037,0.88899857,0.88791054,0.86419964,0.25767797,0.7660583,0.3815235,0.6117619,0.42374325,0.57834995,0.4673774,0.48454744,0.6359167,0.52905595,0.6300349,0.53649324,0.5010194,0.45045128,0.5870132,0.6164714,0.6940403,0.6974124,0.61277694,0.62357795,0.6458502,0.6543453,0.6259979,0.5417119,0.43731022,0.7244072,0.542673,0.4677108,0.6428298,0.55422807,0.4311767,0.60728693,0.5132074,0.6330335,0.803213,0.62043154,0.64120036,0.6523781,0.6327905,0.658716
MIE GEMES LV 1,0.9755359,1.0000004,0.9935894,0.99056596,0.9887608,0.8598811,0.85909045,0.8542299,0.8407018,0.95079386,0.97514963,0.9718738,0.9707651,0.9751355,0.8957133,0.89463985,0.87003607,0.2551883,0.7805079,0.37863302,0.6470171,0.4301924,0.6082847,0.46029818,0.47306412,0.6539231,0.5336195,0.6474181,0.5414245,0.517945,0.43821764,0.6226045,0.635695,0.7224766,0.72219175,0.6356719,0.61762166,0.6583644,0.6664202,0.65155625,0.54478633,0.4422269,0.74836606,0.54707766,0.46771142,0.6438788,0.5381727,0.44112754,0.6224228,0.5203272,0.6393245,0.8105287,0.6471361,0.6402683,0.68050796,0.63174933,0.6658726
MIE GEMES LV 2,0.97687197,0.9935894,0.9999999,0.9916197,0.9908103,0.85343486,0.85442364,0.8524381,0.8359099,0.95030904,0.9690964,0.9762659,0.9708318,0.97561383,0.89536846,0.8980559,0.8695202,0.25479186,0.78125596,0.35781866,0.63987267,0.4238448,0.5937542,0.44068548,0.45524442,0.6415488,0.52557075,0.64526623,0.5252141,0.50463736,0.43067384,0.6173307,0.6215365,0.7155689,0.7238315,0.61735797,0.6239945,0.655634,0.6614046,0.6478721,0.5391931,0.43613672,0.74171805,0.54423654,0.45506045,0.64440906,0.5347049,0.4374267,0.62201655,0.5275501,0.64275396,0.81651974,0.6426315,0.6373019,0.6757467,0.63356566,0.66463715
MIE GEMES LV 3,0.9786128,0.99056596,0.9916197,1.0,0.98589176,0.84493434,0.84486526,0.84035,0.82619596,0.9537932,0.9665277,0.96962416,0.97623223,0.9720967,0.8849288,0.8832873,0.8601179,0.24605392,0.7700654,0.3792999,0.6369025,0.42034686,0.5988321,0.44788492,0.46935457,0.63984203,0.53557885,0.6315569,0.5318903,0.5063751,0.4338477,0.61956155,0.63043165,0.7161871,0.7194928,0.6178043,0.6225021,0.65878844,0.6481713,0.6397587,0.53263867,0.42651033,0.736911,0.54886854,0.44840997,0.62767506,0.5309918,0.44820482,0.6199317,0.5324087,0.63223827,0.8033693,0.6363454,0.6343914,0.67075557,0.6222912,0.6523471
MIE GEMES LV 4,0.9710019,0.9887608,0.9908103,0.98589176,1.0,0.84087956,0.8417479,0.8387099,0.82232773,0.94248235,0.96376014,0.96775436,0.9643377,0.9759238,0.89214146,0.89125764,0.8638626,0.23994718,0.7587864,0.33829486,0.63531744,0.41632265,0.58572936,0.4264077,0.43505335,0.62797165,0.532614,0.635575,0.52100396,0.5002807,0.41137642,0.6069261,0.6042956,0.7029789,0.70753574,0.61603945,0.6099205,0.64656246,0.6366833,0.63472223,0.5355037,0.4304607,0.72239906,0.5275875,0.4448011,0.6192155,0.5234864,0.4237333,0.6019249,0.5235871,0.63327324,0.7930855,0.633954,0.6357194,0.6612105,0.6136037,0.6505923
MIE AYAM,0.8584715,0.8598811,0.85343486,0.84493434,0.84087956,0.99999994,0.98672926,0.98280406,0.97765076,0.88036,0.87935257,0.87797713,0.86962646,0.8743658,0.9219683,0.922416,0.91390115,0.2931658,0.85691893,0.479981,0.6421884,0.41722453,0.61990523,0.5601277,0.509113,0.7034912,0.49815208,0.66995645,0.5268174,0.56302357,0.5120891,0.6049788,0.656165,0.7376322,0.6682435,0.630124,0.63530195,0.60718644,0.6610327,0.6318596,0.4611289,0.47088462,0.7227567,0.5263792,0.5352321,0.6121886,0.58667874,0.41581324,0.61927044,0.5042343,0.623659,0.8052299,0.6330601,0.6123111,0.6911865,0.64501226,0.69235265
MIE AYAM PANGSIT,0.8520032,0.85909045,0.85442364,0.84486526,0.8417479,0.98672926,0.9999998,0.9885892,0.97676647,0.87661123,0.87825,0.87867606,0.8691428,0.8761278,0.92904437,0.9289181,0.91508603,0.2714591,0.87151074,0.48077744,0.66343844,0.4055205,0.62744236,0.56206346,0.5140663,0.7109639,0.4966176,0.6674508,0.5146639,0.56562537,0.502653,0.60720026,0.65382487,0.7430941,0.6696236,0.62868845,0.6422085,0.62432015,0.6757937,0.6818862,0.46661317,0.49088728,0.7356889,0.53434205,0.5507919,0.5994693,0.5937667,0.40870374,0.62062085,0.5207325,0.6199862,0.79952806,0.6579076,0.6153962,0.6990696,0.64902276,0.700987
MIE AYAM CEKER,0.8484055,0.8542299,0.8524381,0.84035,0.8387099,0.98280406,0.9885892,1.0000002,0.9796175,0.86893475,0.8652903,0.86870015,0.8573508,0.864611,0.9292872,0.93058443,0.9197345,0.30505133,0.86888325,0.46315446,0.66401523,0.42102373,0.6289518,0.5510001,0.48706573,0.68593407,0.48283702,0.66970575,0.5450343,0.5538555,0.47439975,0.6119503,0.65351355,0.73806846,0.6761015,0.6209247,0.6436051,0.63115203,0.666046,0.66389257,0.46351272,0.4855299,0.7272071,0.5314391,0.5603279,0.61449605,0.5934053,0.40561092,0.61656845,0.53029126,0.62382746,0.81543386,0.66334146,0.6346038,0.70724666,0.6583265,0.7009794
MIE AYAM BAKSO,0.83529794,0.8407018,0.8359099,0.82619596,0.82232773,0.97765076,0.97676647,0.9796175,1.0,0.8509516,0.8479241,0.84914255,0.8390776,0.844337,0.91748255,0.92075944,0.9370096,0.41416693,0.8495017,0.48892444,0.6638603,0.43209326,0.629285,0.5524814,0.47652388,0.68241864,0.48465562,0.63953465,0.54460204,0.5601254,0.4719718,0.6172919,0.6568397,0.73226774,0.6627803,0.6099087,0.6452233,0.6208393,0.652578,0.6479362,0.46737587,0.4707247,0.70739055,0.54158413,0.5589769,0.59986544,0.59805846,0.3977158,0.60072744,0.545089,0.6036532,0.79328454,0.6348409,0.60998285,0.67668813,0.65667325,0.6858047
MIE YAMIN (0),0.9749954,0.95079386,0.95030904,0.9537932,0.94248235,0.88036,0.87661123,0.86893475,0.8509516,0.9999999,0.9786587,0.9793541,0.98169315,0.9764318,0.87322724,0.8703723,0.8505641,0.24144197,0.81538224,0.40966082,0.6250006,0.40689716,0.5746889,0.46720695,0.5201695,0.67085254,0.5309966,0.65016913,0.52793586,0.52629066,0.47917086,0.59231263,0.63013077,0.7125794,0.70395315,0.60989356,0.6169225,0.6450571,0.64293814,0.632071,0.5098692,0.45998782,0.7224333,0.52687705,0.46312886,0.6245167,0.5376997,0.4209102,0.5952827,0.4960147,0.6119894,0.7851236,0.6316149,0.6391411,0.6521474,0.6141225,0.6563625
MIE YAMIN LV 1,0.9673767,0.97514963,0.9690964,0.9665277,0.96376014,0.87935257,0.87825,0.8652903,0.8479241,0.9786587,0.9999999,0.9952129,0.99376833,0.9933218,0.8781097,0.8762239,0.8484721,0.22927938,0.8058673,0.40367976,0.63781667,0.41685998,0.58912826,0.4623428,0.4970367,0.6614086,0.52154034,0.66774625,0.54082954,0.5320935,0.4670316,0.6046852,0.61377585,0.714182,0.72411823,0.6162414,0.6202939,0.6559618,0.65065414,0.6329279,0.5025832,0.44207996,0.73197174,0.52751946,0.45679948,0.63495076,0.51931655,0.42418706,0.5947623,0.49319044,0.6244719,0.80007005,0.62433887,0.62430465,0.6490666,0.617193,0.6580913
MIE YAMIN LV 2,0.9699832,0.9718738,0.9762659,0.96962416,0.96775436,0.87797713,0.87867606,0.86870015,0.84914255,0.9793541,0.9952129,0.99999976,0.9948119,0.9948777,0.88296235,0.88401914,0.8542061,0.235526,0.8120378,0.39047557,0.63539124,0.41524684,0.58108807,0.45004275,0.48395157,0.6542183,0.51744604,0.66989386,0.5312747,0.5245489,0.463553,0.60236686,0.6068675,0.7139051,0.7290593,0.6059013,0.6319462,0.658041,0.64948016,0.63389504,0.5001447,0.43901518,0.72890806,0.5312949,0.45324653,0.63898027,0.5233985,0.42568648,0.5987483,0.50791377,0.6292661,0.8076178,0.62439793,0.62739706,0.6500821,0.6258222,0.6605151
MIE YAMIN LV 3,0.972023,0.9707651,0.9708318,0.97623223,0.9643377,0.86962646,0.8691428,0.8573508,0.8390776,0.98169315,0.99376833,0.9948119,1.0000001,0.9923075,0.8735674,0.8712977,0.84438336,0.22638328,0.8014811,0.40472808,0.6324129,0.41503993,0.5863802,0.4584961,0.4947479,0.6543889,0.5264552,0.6622124,0.53855395,0.52747995,0.4673172,0.6054898,0.6138779,0.71180725,0.7275338,0.60794985,0.6293082,0.6610556,0.64023465,0.62401634,0.49812895,0.434402,0.7264065,0.5330018,0.44440514,0.6297699,0.517098,0.43607426,0.5999145,0.5053688,0.62526727,0.79881185,0.61870253,0.6246867,0.6469207,0.6154512,0.6487643
MIE YAMIN LV 4,0.97104037,0.9751355,0.97561383,0.9720967,0.9759238,0.8743658,0.8761278,0.864611,0.844337,0.9764318,0.9933218,0.9948777,0.9923075,1.0000004,0.880941,0.87971234,0.8498614,0.22105917,0.80585855,0.39537397,0.63703144,0.41377723,0.5853868,0.45770884,0.49283034,0.6534085,0.5240722,0.66910696,0.5303415,0.5248162,0.46326005,0.5996122,0.6091453,0.7119836,0.7215516,0.61350167,0.6256021,0.6511656,0.6428585,0.63990045,0.49989206,0.43999654,0.73025656,0.52678573,0.44519243,0.6265345,0.5295003,0.4258194,0.59668446,0.50785565,0.62414896,0.7986114,0.62971115,0.6285819,0.6535816,0.6181088,0.66416097
CWIE MIE,0.88899857,0.8957133,0.89536846,0.8849288,0.89214146,0.9219683,0.92904437,0.9292872,0.91748255,0.87322724,0.8781097,0.88296235,0.8735674,0.880941,1.0000001,0.9971839,0.9818003,0.32944727,0.8289246,0.4009884,0.6756196,0.46574268,0.6688954,0.5190724,0.42206746,0.6887875,0.5628538,0.6795884,0.5594714,0.5780014,0.46266788,0.6240115,0.6641667,0.7557217,0.730181,0.64191794,0.6847608,0.6818315,0.7367965,0.6579385,0.5256236,0.4809035,0.74391687,0.54654914,0.53322893,0.6678159,0.58338153,0.42922556,0.6368019,0.5478994,0.66152835,0.79933465,0.6413491,0.6382387,0.6979914,0.6613159,0.6764545
CWIE MIE PANGSIT,0.88791054,0.89463985,0.8980559,0.8832873,0.89125764,0.922416,0.9289181,0.93058443,0.92075944,0.8703723,0.8762239,0.88401914,0.8712977,0.87971234,0.9971839,0.99999976,0.98330665,0.34193182,0.8319467,0.39938974,0.68808085,0.46703833,0.6732219,0.5123577,0.41864905,0.6872058,0.5574423,0.6826041,0.55790067,0.5711564,0.46137285,0.62605333,0.6647475,0.75914747,0.7326602,0.6368295,0.6977446,0.67583823,0.7298573,0.65562034,0.52859944,0.47558963,0.7385716,0.5470493,0.53820693,0.6661198,0.5852525,0.42872423,0.6380653,0.5560088,0.66325915,0.8029418,0.6385756,0.6297513,0.69349957,0.66629463,0.6793545
CWIE MIE BAKSO,0.86419964,0.87003607,0.8695202,0.8601179,0.8638626,0.91390115,0.91508603,0.9197345,0.9370096,0.8505641,0.8484721,0.8542061,0.84438336,0.8498614,0.9818003,0.98330665,1.0000002,0.44955415,0.8283366,0.41676223,0.6852527,0.4817884,0.67146814,0.5098189,0.40853152,0.679132,0.54994684,0.66237557,0.5721773,0.57616544,0.45386583,0.63516486,0.6785457,0.7571384,0.72836286,0.6345943,0.6966263,0.67267394,0.71227586,0.6447016,0.52383286,0.46941328,0.71539056,0.5511145,0.5514682,0.6489713,0.5874419,0.4200034,0.6252204,0.5754545,0.64513946,0.777763,0.6290211,0.6253545,0.6766104,0.6687876,0.665621
BAKSO SAPI,0.25767797,0.2551883,0.25479186,0.24605392,0.23994718,0.2931658,0.2714591,0.30505133,0.41416693,0.24144197,0.22927938,0.235526,0.22638328,0.22105917,0.32944727,0.34193182,0.44955415,0.9999999,0.2786516,0.31496578,0.38313732,0.36526144,0.3591308,0.20486596,0.09634252,0.21564895,0.20984095,0.20821883,0.36678302,0.26412126,0.22961207,0.38888407,0.34498245,0.31711006,0.364816,0.28147942,0.38082242,0.37503713,0.30855238,0.20771497,0.27505606,0.21380657,0.21726052,0.33628315,0.39330333,0.34127203,0.31751776,0.22835875,0.2535416,0.39686626,0.2576471,0.33359364,0.18766794,0.31340092,0.21382803,0.36892968,0.26840642
MIE AYAM KOMPLIT,0.7660583,0.7805079,0.78125596,0.7700654,0.7587864,0.85691893,0.87151074,0.86888325,0.8495017,0.81538224,0.8058673,0.8120378,0.8014811,0.80585855,0.8289246,0.8319467,0.8283366,0.2786516,0.99999994,0.50085634,0.6783141,0.41018492,0.615826,0.5037325,0.54274344,0.7167196,0.47071323,0.71136093,0.48971298,0.5431576,0.49063766,0.58907163,0.6737379,0.7709844,0.725863,0.58062255,0.6701099,0.6116076,0.6183442,0.6139965,0.3676347,0.46692783,0.69335926,0.4473498,0.4827148,0.5165515,0.4699034,0.3714902,0.56179166,0.46504098,0.57843924,0.69326794,0.6638756,0.5377144,0.6633779,0.6086729,0.62747765
TEH HANGAT,0.3815235,0.37863302,0.35781866,0.3792999,0.33829486,0.479981,0.48077744,0.46315446,0.48892444,0.40966082,0.40367976,0.39047557,0.40472808,0.39537397,0.4009884,0.39938974,0.41676223,0.31496578,0.50085634,0.9999999,0.52084494,0.50323457,0.6505201,0.63085103,0.59310097,0.5696063,0.30650052,0.46710116,0.47974926,0.571451,0.5661926,0.44577006,0.5427439,0.4883234,0.44683906,0.5108043,0.52549505,0.47447115,0.41686213,0.4055629,0.20324656,0.25032622,0.42147,0.4375953,0.42917737,0.3868845,0.45739016,0.39156875,0.37981915,0.38251442,0.38587832,0.3780069,0.3009109,0.32254595,0.3860088,0.47950235,0.4674142
ES TEH,0.6117619,0.6470171,0.63987267,0.6369025,0.63531744,0.6421884,0.66343844,0.66401523,0.6638603,0.6250006,0.63781667,0.63539124,0.6324129,0.63703144,0.6756196,0.68808085,0.6852527,0.38313732,0.6783141,0.52084494,0.9999999,0.4544558,0.83404624,0.409594,0.40954003,0.62457705,0.43334273,0.5942342,0.5476221,0.5331351,0.38420367,0.6877521,0.6557723,0.7316071,0.63558114,0.5719727,0.6496748,0.6262561,0.5636739,0.58801055,0.46199378,0.4734292,0.6200069,0.5031945,0.58976555,0.5219861,0.46978575,0.37992334,0.5248874,0.5162039,0.57555175,0.6147121,0.55315995,0.5082207,0.5446317,0.54895806,0.6114092
JERUK HANGAT,0.42374325,0.4301924,0.4238448,0.42034686,0.41632265,0.41722453,0.4055205,0.42102373,0.43209326,0.40689716,0.41685998,0.41524684,0.41503993,0.41377723,0.46574268,0.46703833,0.4817884,0.36526144,0.41018492,0.50323457,0.4544558,0.9999998,0.67717063,0.4572665,0.44797742,0.4864093,0.5062321,0.5026016,0.5168185,0.61142445,0.47765338,0.5504919,0.59780324,0.52109504,0.5923563,0.54781723,0.57995486,0.551259,0.49315888,0.40180263,0.4052855,0.36704266,0.45017293,0.49060303,0.44997025,0.53074586,0.40184656,0.39920062,0.4853856,0.4714458,0.554441,0.47148532,0.4199425,0.4791262,0.44593006,0.5652324,0.48221725
ES JERUK,0.57834995,0.6082847,0.5937542,0.5988321,0.58572936,0.61990523,0.62744236,0.6289518,0.629285,0.5746889,0.58912826,0.58108807,0.5863802,0.5853868,0.6688954,0.6732219,0.67146814,0.3591308,0.615826,0.6505201,0.83404624,0.67717063,0.99999976,0.5423738,0.5225049,0.67958117,0.5013558,0.66021705,0.5756453,0.68503153,0.511189,0.69601464,0.74429786,0.71133435,0.685835,0.6675568,0.6784543,0.6517403,0.639449,0.55888796,0.45631266,0.47020936,0.6321727,0.5377535,0.56553805,0.6147249,0.47508192,0.4189724,0.5492033,0.52121556,0.6271142,0.60049,0.53609383,0.50145787,0.5499077,0.59657705,0.5986146
ES BERAS KENCUR,0.4673774,0.46029818,0.44068548,0.44788492,0.4264077,0.5601277,0.56206346,0.5510001,0.5524814,0.46720695,0.4623428,0.45004275,0.4584961,0.45770884,0.5190724,0.5123577,0.5098189,0.20486596,0.5037325,0.63085103,0.409594,0.4572665,0.5423738,1.0000002,0.50006306,0.57585514,0.3291664,0.52074957,0.44738573,0.5593125,0.604769,0.30715555,0.5135382,0.49751666,0.4497915,0.5156584,0.53094,0.43277088,0.44635552,0.49709648,0.25884464,0.33690053,0.5276216,0.47308487,0.3569373,0.43133754,0.5361606,0.48811316,0.5029968,0.39993334,0.40937185,0.42350137,0.37161303,0.40051958,0.45748258,0.5260727,0.48699683
CAPPUCINO CINCAU,0.48454744,0.47306412,0.45524442,0.46935457,0.43505335,0.509113,0.5140663,0.48706573,0.47652388,0.5201695,0.4970367,0.48395157,0.4947479,0.49283034,0.42206746,0.41864905,0.40853152,0.09634252,0.54274344,0.59310097,0.40954003,0.44797742,0.5225049,0.50006306,1.0000001,0.61628574,0.40666094,0.48757917,0.29219252,0.5534481,0.6980725,0.45707184,0.6126942,0.53125894,0.45149034,0.5615551,0.44992915,0.4022699,0.44747263,0.48014504,0.36215657,0.46199828,0.47809133,0.36398286,0.36113697,0.36640388,0.34259617,0.33869094,0.46072748,0.31936637,0.4595092,0.46887493,0.570336,0.40934908,0.5045501,0.41395387,0.48489022
THAI TEA,0.6359167,0.6539231,0.6415488,0.63984203,0.62797165,0.7034912,0.7109639,0.68593407,0.68241864,0.67085254,0.6614086,0.6542183,0.6543889,0.6534085,0.6887875,0.6872058,0.679132,0.21564895,0.7167196,0.5696063,0.62457705,0.4864093,0.67958117,0.57585514,0.61628574,0.9999999,0.6478264,0.61341405,0.37430772,0.6907827,0.6113388,0.6302571,0.7757071,0.79320574,0.6251594,0.69173384,0.5799459,0.55831134,0.63227594,0.6269612,0.5039029,0.5356501,0.6801803,0.46979645,0.4824583,0.530653,0.5140578,0.44987828,0.619472,0.40620852,0.6012429,0.63983476,0.6585671,0.557225,0.66741645,0.50539434,0.6276793
GREEN THAI TEA,0.52905595,0.5336195,0.52557075,0.53557885,0.532614,0.49815208,0.4966176,0.48283702,0.48465562,0.5309966,0.52154034,0.51744604,0.5264552,0.5240722,0.5628538,0.5574423,0.54994684,0.20984095,0.47071323,0.30650052,0.43334273,0.5062321,0.5013558,0.3291664,0.40666094,0.6478264,1.0,0.48112208,0.34809053,0.5748747,0.448138,0.5538907,0.6124375,0.62089014,0.5698118,0.5260778,0.5317675,0.5209085,0.55550283,0.51312375,0.47075713,0.39056385,0.571752,0.5043456,0.356265,0.51723903,0.5017053,0.46705085,0.56891555,0.45099235,0.4854628,0.49963737,0.54785454,0.611058,0.57087815,0.5049234,0.51692915
ES KOPI MILO,0.6300349,0.6474181,0.64526623,0.6315569,0.635575,0.66995645,0.6674508,0.66970575,0.63953465,0.65016913,0.66774625,0.66989386,0.6622124,0.66910696,0.6795884,0.6826041,0.66237557,0.20821883,0.71136093,0.46710116,0.5942342,0.5026016,0.66021705,0.52074957,0.48757917,0.61341405,0.48112208,1.0,0.5794574,0.7626083,0.60633945,0.5922437,0.6226721,0.70745885,0.7709174,0.61631787,0.73284435,0.6815443,0.6105291,0.5304333,0.34846753,0.3206609,0.57067746,0.58534175,0.43653333,0.62378854,0.5063521,0.51683164,0.6119455,0.53417087,0.58012223,0.56592906,0.532315,0.57414484,0.5766299,0.61499536,0.6140835
