nama,MIE KALEM,MIE GEMES LV 1,MIE GEMES LV 2,MIE GEMES LV 3,MIE GEMES LV 4,MIE AYAM,MIE AYAM PANGSIT,MIE AYAM CEKER,MIE AYAM BAKSO,MIE YAMIN (0),MIE YAMIN LV 1,MIE YAMIN LV 2,MIE YAMIN LV 3,MIE YAMIN LV 4,CWIE MIE,CWIE MIE PANGSIT,CWIE MIE BAKSO,BAKSO SAPI,MIE AYAM KOMPLIT,TEH HANGAT,ES TEH,JERUK HANGAT,ES JERUK,ES BERAS KENCUR,CAPPUCINO CINCAU,THAI TEA,GREEN THAI TEA,ES KOPI MILO,AIR MINERAL,ES MILO,GOODDAY CAPPUCINO,HOT LEMON TEA,ES LEMON TEA,ES KOPI SUSU,ES KOPI SUSU VANILLA,ES KOPI SUSU RUM REGAL,KOPI HITAM,PANGSIT GORENG,PANGSIT REBUS,DIMSUM BOLA RAMBUTAN,DIMSUM SIOMAY BEEF,DIMSUM SIOMAY SALMON,DIMSUM SIOMAY AYAM,DIMSUM KEICHAK,DIMSUM SUSHI,DIMSUM TIM TAHU,DIMSUM MONEY BAG,DIMSUM SPRING ROLL,DIMSUM LUMPIA NORI,DIMSUM BOLA KEJU,DIMSUM SIOMAY CRAB,DIMSUM SIOMAY KEJU,DIMSUM SIOMAY MOZARELLA,DIMSUM SIOMAY RANJAU,DIMSUM SIOMAY JAMUR,DIMSUM XIAO LONG BAO,DIMSUM EKADO
PANGSIT REBUS,0.6543453,0.6664202,0.6614046,0.6481713,0.6366833,0.6610327,0.6757937,0.666046,0.652578,0.64293814,0.65065414,0.64948016,0.64023465,0.6428585,0.7367965,0.7298573,0.71227586,0.30855238,0.6183442,0.41686213,0.5636739,0.49315888,0.639449,0.44635552,0.44747263,0.63227594,0.55550283,0.6105291,0.45999533,0.56486833,0.41504872,0.58293223,0.5785675,0.6384543,0.6468456,0.5409828,0.57407624,0.7646009,1.0000002,0.7113523,0.48673683,0.43955016,0.74069226,0.6383144,0.46009505,0.77657044,0.5773954,0.5032325,0.7042507,0.47826982,0.55374634,0.6597196,0.56001616,0.58048975,0.6275832,0.60538125,0.697865
DIMSUM BOLA RAMBUTAN,0.6259979,0.65155625,0.6478721,0.6397587,0.63472223,0.6318596,0.6818862,0.66389257,0.6479362,0.632071,0.6329279,0.63389504,0.62401634,0.63990045,0.6579385,0.65562034,0.6447016,0.20771497,0.6139965,0.4055629,0.58801055,0.40180263,0.55888796,0.49709648,0.48014504,0.6269612,0.51312375,0.5304333,0.4677625,0.48239845,0.36600173,0.5745275,0.61269206,0.6169312,0.57703614,0.5049442,0.4973239,0.59106314,0.7113523,1.0000002,0.46820492,0.47746116,0.7319937,0.7273909,0.5078255,0.59177876,0.77311873,0.5619,0.71525496,0.62088567,0.48165977,0.6388536,0.68270177,0.5728804,0.73971653,0.64390767,0.7576462
DIMSUM SIOMAY BEEF,0.5417119,0.54478633,0.5391931,0.53263867,0.5355037,0.4611289,0.46661317,0.46351272,0.46737587,0.5098692,0.5025832,0.5001447,0.49812895,0.49989206,0.5256236,0.52859944,0.52383286,0.27505606,0.3676347,0.20324656,0.46199378,0.4052855,0.45631266,0.25884464,0.36215657,0.5039029,0.47075713,0.34846753,0.3453735,0.41120946,0.36415094,0.5207432,0.56082475,0.5345038,0.43916202,0.6416689,0.39426264,0.36567187,0.48673683,0.46820492,1.0,0.48790106,0.56085086,0.43904927,0.45625228,0.52367914,0.33863503,0.2926987,0.46563882,0.4129625,0.65812707,0.55584794,0.5608643,0.5015992,0.5548445,0.44290698,0.49015966
DIMSUM SIOMAY SALMON,0.43731022,0.4422269,0.43613672,0.42651033,0.4304607,0.47088462,0.49088728,0.4855299,0.4707247,0.45998782,0.44207996,0.43901518,0.434402,0.43999654,0.4809035,0.47558963,0.46941328,0.21380657,0.46692783,0.25032622,0.4734292,0.36704266,0.47020936,0.33690053,0.46199828,0.5356501,0.39056385,0.3206609,0.23618093,0.38446563,0.36128664,0.49431384,0.56618845,0.5096582,0.39532083,0.4788741,0.3632179,0.35605687,0.43955016,0.47746116,0.48790106,1.0000005,0.550303,0.31280267,0.46327746,0.4179883,0.3545185,0.24373075,0.42433822,0.30547556,0.5857773,0.5885722,0.6669018,0.52726316,0.5772811,0.36159122,0.4223742
DIMSUM SIOMAY AYAM,0.7244072,0.74836606,0.74171805,0.736911,0.72239906,0.7227567,0.7356889,0.7272071,0.70739055,0.7224333,0.73197174,0.72890806,0.7264065,0.73025656,0.74391687,0.7385716,0.71539056,0.21726052,0.69335926,0.42147,0.6200069,0.45017293,0.6321727,0.5276216,0.47809133,0.6801803,0.571752,0.57067746,0.47223598,0.4862213,0.4132632,0.57967615,0.69869125,0.67938894,0.6526588,0.6182524,0.54296905,0.6452124,0.74069226,0.7319937,0.56085086,0.550303,1.0,0.6730751,0.532658,0.724155,0.62691176,0.5138734,0.6587323,0.52061844,0.61022246,0.7591727,0.6812099,0.60770833,0.75337327,0.7075107,0.7977629
DIMSUM KEICHAK,0.542673,0.54707766,0.54423654,0.54886854,0.5275875,0.5263792,0.53434205,0.5314391,0.54158413,0.52687705,0.52751946,0.5312949,0.5330018,0.52678573,0.54654914,0.5470493,0.5511145,0.33628315,0.4473498,0.4375953,0.5031945,0.49060303,0.5377535,0.47308487,0.36398286,0.46979645,0.5043456,0.58534175,0.5769046,0.545065,0.41652027,0.4944833,0.55750227,0.56013125,0.58849055,0.4649914,0.59351015,0.69456595,0.6383144,0.7273909,0.43904927,0.31280267,0.6730751,1.0,0.5677302,0.69439936,0.80239505,0.71360207,0.7010005,0.7924551,0.3966011,0.5724883,0.50200176,0.5675391,0.5982665,0.7641392,0.7422991
DIMSUM SUSHI,0.4677108,0.46771142,0.45506045,0.44840997,0.4448011,0.5352321,0.5507919,0.5603279,0.5589769,0.46312886,0.45679948,0.45324653,0.44440514,0.44519243,0.53322893,0.53820693,0.5514682,0.39330333,0.4827148,0.42917737,0.58976555,0.44997025,0.56553805,0.3569373,0.36113697,0.4824583,0.356265,0.43653333,0.4912387,0.43421662,0.36015436,0.5007467,0.54083383,0.5780977,0.512362,0.61099005,0.507563,0.54130846,0.46009505,0.5078255,0.45625228,0.46327746,0.532658,0.5677302,1.0000001,0.5088669,0.53080434,0.3663743,0.51060236,0.55177736,0.48406377,0.5402412,0.45112336,0.5246324,0.4575246,0.65279007,0.5938854
DIMSUM TIM TAHU,0.6428298,0.6438788,0.64440906,0.62767506,0.6192155,0.6121886,0.5994693,0.61449605,0.59986544,0.6245167,0.63495076,0.63898027,0.6297699,0.6265345,0.6678159,0.6661198,0.6489713,0.34127203,0.5165515,0.3868845,0.5219861,0.53074586,0.6147249,0.43133754,0.36640388,0.530653,0.51723903,0.62378854,0.54827154,0.56010956,0.43241987,0.512166,0.55884147,0.5855551,0.66586304,0.5748352,0.5598222,0.72556204,0.77657044,0.59177876,0.52367914,0.4179883,0.724155,0.69439936,0.5088669,1.0,0.64466536,0.5119099,0.63883454,0.52837765,0.53541267,0.6731288,0.47352856,0.57456017,0.5711068,0.7230724,0.6939367
DIMSUM MONEY BAG,0.55422807,0.5381727,0.5347049,0.5309918,0.5234864,0.58667874,0.5937667,0.5934053,0.59805846,0.5376997,0.51931655,0.5233985,0.517098,0.5295003,0.58338153,0.5852525,0.5874419,0.31751776,0.4699034,0.45739016,0.46978575,0.40184656,0.47508192,0.5361606,0.34259617,0.5140578,0.5017053,0.5063521,0.5078756,0.48765093,0.40751368,0.43707955,0.5155326,0.5562211,0.52012414,0.4246345,0.5450363,0.58124423,0.5773954,0.77311873,0.33863503,0.3545185,0.62691176,0.80239505,0.53080434,0.64466536,1.0,0.68775916,0.7001488,0.68951964,0.37574548,0.580533,0.4822232,0.5681617,0.63658094,0.721054,0.7541878
DIMSUM SPRING ROLL,0.4311767,0.44112754,0.4374267,0.44820482,0.4237333,0.41581324,0.40870374,0.40561092,0.3977158,0.4209102,0.42418706,0.42568648,0.43607426,0.4258194,0.42922556,0.42872423,0.4200034,0.22835875,0.3714902,0.39156875,0.37992334,0.39920062,0.4189724,0.48811316,0.33869094,0.44987828,0.46705085,0.51683164,0.48839572,0.4694601,0.44193882,0.4429046,0.48629296,0.48109454,0.513393,0.41866335,0.54140556,0.6250466,0.5032325,0.5619,0.2926987,0.24373075,0.5138734,0.71360207,0.3663743,0.5119099,0.68775916,1.0,0.8251803,0.5355241,0.4101593,0.47078335,0.3938092,0.5015358,0.5845748,0.60176027,0.6056929
DIMSUM LUMPIA NORI,0.60728693,0.6224228,0.62201655,0.6199317,0.6019249,0.61927044,0.62062085,0.61656845,0.60072744,0.5952827,0.5947623,0.5987483,0.5999145,0.59668446,0.6368019,0.6380653,0.6252204,0.2535416,0.56179166,0.37981915,0.5248874,0.4853856,0.5492033,0.5029968,0.46072748,0.619472,0.56891555,0.6119455,0.48793197,0.5135933,0.43917507,0.5653335,0.6125618,0.6297922,0.6350293,0.5562464,0.5980081,0.7156767,0.7042507,0.71525496,0.46563882,0.42433822,0.6587323,0.7010005,0.51060236,0.63883454,0.7001488,0.8251803,1.0,0.5580665,0.558033,0.62788534,0.59629446,0.59944755,0.7164201,0.6203934,0.7155752
DIMSUM BOLA KEJU,0.5132074,0.5203272,0.5275501,0.5324087,0.5235871,0.5042343,0.5207325,0.53029126,0.545089,0.4960147,0.49319044,0.50791377,0.5053688,0.50785565,0.5478994,0.5560088,0.5754545,0.39686626,0.46504098,0.38251442,0.5162039,0.4714458,0.52121556,0.39993334,0.31936637,0.40620852,0.45099235,0.53417087,0.5124749,0.49147838,0.4015156,0.50114954,0.513514,0.6014025,0.5716069,0.4293447,0.7083673,0.5691428,0.47826982,0.62088567,0.4129625,0.30547556,0.52061844,0.7924551,0.55177736,0.52837765,0.68951964,0.5355241,0.5580665,0.99999994,0.3947609,0.53086054,0.53621674,0.5346216,0.48742193,0.7458583,0.59083426
DIMSUM SIOMAY CRAB,0.6330335,0.6393245,0.64275396,0.63223827,0.63327324,0.623659,0.6199862,0.62382746,0.6036532,0.6119894,0.6244719,0.6292661,0.62526727,0.62414896,0.66152835,0.66325915,0.64513946,0.2576471,0.57843924,0.38587832,0.57555175,0.554441,0.6271142,0.40937185,0.4595092,0.6012429,0.4854628,0.58012223,0.42832196,0.55398107,0.5138693,0.62506366,0.6078789,0.64926255,0.6134753,0.67046815,0.5650985,0.5093366,0.55374634,0.48165977,0.65812707,0.5857773,0.61022246,0.3966011,0.48406377,0.53541267,0.37574548,0.4101593,0.558033,0.3947609,1.0000001,0.6794869,0.6493515,0.6136971,0.6544657,0.54741126,0.5700282
DIMSUM SIOMAY KEJU,0.803213,0.8105287,0.81651974,0.8033693,0.7930855,0.8052299,0.79952806,0.81543386,0.79328454,0.7851236,0.80007005,0.8076178,0.79881185,0.7986114,0.79933465,0.8029418,0.777763,0.33359364,0.69326794,0.3780069,0.6147121,0.47148532,0.60049,0.42350137,0.46887493,0.63983476,0.49963737,0.56592906,0.532073,0.49454835,0.45674875,0.67954624,0.6896077,0.6851039,0.6666746,0.58830464,0.5999108,0.6204396,0.6597196,0.6388536,0.55584794,0.5885722,0.7591727,0.5724883,0.5402412,0.6731288,0.580533,0.47078335,0.62788534,0.53086054,0.6794869,1.0000002,0.7423889,0.6703117,0.7595322,0.6461295,0.7174871
DIMSUM SIOMAY MOZARELLA,0.62043154,0.6471361,0.6426315,0.6363454,0.633954,0.6330601,0.6579076,0.66334146,0.6348409,0.6316149,0.62433887,0.62439793,0.61870253,0.62971115,0.6413491,0.6385756,0.6290211,0.18766794,0.6638756,0.3009109,0.55315995,0.4199425,0.53609383,0.37161303,0.570336,0.6585671,0.54785454,0.532315,0.41614524,0.492952,0.37932825,0.6175287,0.66769695,0.63211536,0.58093464,0.54290485,0.5090743,0.52625555,0.56001616,0.68270177,0.5608643,0.6669018,0.6812099,0.50200176,0.45112336,0.47352856,0.4822232,0.3938092,0.59629446,0.53621674,0.6493515,0.7423889,0.99999976,0.66954756,0.8062397,0.5103111,0.5918641
DIMSUM SIOMAY RANJAU,0.64120036,0.6402683,0.6373019,0.6343914,0.6357194,0.6123111,0.6153962,0.6346038,0.60998285,0.6391411,0.62430465,0.62739706,0.6246867,0.6285819,0.6382387,0.6297513,0.6253545,0.31340092,0.5377144,0.32254595,0.5082207,0.4791262,0.50145787,0.40051958,0.40934908,0.557225,0.611058,0.57414484,0.4876548,0.6051205,0.47288746,0.64802986,0.62720686,0.66536605,0.63602567,0.6162331,0.5567707,0.6488357,0.58048975,0.5728804,0.5015992,0.52726316,0.60770833,0.5675391,0.5246324,0.57456017,0.5681617,0.5015358,0.59944755,0.5346216,0.6136971,0.6703117,0.66954756,0.9999999,0.7128089,0.5919611,0.5888823
DIMSUM SIOMAY JAMUR,0.6523781,0.68050796,0.6757467,0.67075557,0.6612105,0.6911865,0.6990696,0.70724666,0.67668813,0.6521474,0.6490666,0.6500821,0.6469207,0.6535816,0.6979914,0.69349957,0.6766104,0.21382803,0.6633779,0.3860088,0.5446317,0.44593006,0.5499077,0.45748258,0.5045501,0.66741645,0.57087815,0.5766299,0.5257845,0.5411366,0.4261598,0.6398157,0.71945274,0.6511329,0.61543024,0.61301565,0.4953675,0.5845912,0.6275832,0.73971653,0.5548445,0.5772811,0.75337327,0.5982665,0.4575246,0.5711068,0.63658094,0.5845748,0.7164201,0.48742193,0.6544657,0.7595322,0.8062397,0.7128089,0.9999999,0.5848849,0.699094
DIMSUM XIAO LONG BAO,0.6327905,0.63174933,0.63356566,0.6222912,0.6136037,0.64501226,0.64902276,0.6583265,0.65667325,0.6141225,0.617193,0.6258222,0.6154512,0.6181088,0.6613159,0.66629463,0.6687876,0.36892968,0.6086729,0.47950235,0.54895806,0.5652324,0.59657705,0.5260727,0.41395387,0.50539434,0.5049234,0.61499536,0.5982778,0.5464886,0.5169478,0.5282056,0.5842957,0.6538619,0.6645657,0.6026262,0.74017036,0.6557117,0.60538125,0.64390767,0.44290698,0.36159122,0.7075107,0.7641392,0.65279007,0.7230724,0.721054,0.60176027,0.6203934,0.7458583,0.54741126,0.6461295,0.5103111,0.5919611,0.5848849,1.0,0.7710639
DIMSUM EKADO,0.658716,0.6658726,0.66463715,0.6523471,0.6505923,0.69235265,0.700987,0.7009794,0.6858047,0.6563625,0.6580913,0.6605151,0.6487643,0.66416097,0.6764545,0.6793545,0.665621,0.26840642,0.62747765,0.4674142,0.6114092,0.48221725,0.5986146,0.48699683,0.48489022,0.6276793,0.51692915,0.6140835,0.5067774,0.5607437,0.46308464,0.6060157,0.6475265,0.6768491,0.6034385,0.6085191,0.60232663,0.6725706,0.697865,0.7576462,0.49015966,0.4223742,0.7977629,0.7422991,0.5938854,0.6939367,0.7541878,0.6056929,0.7155752,0.59083426,0.5700282,0.7174871,0.5918641,0.5888823,0.699094,0.7710639,1.0000002
